name,facebook,twitter,state,"NPR ""denier or doubter""",Trump endorsed? (*may soon),party,INCUMBENT?,Filing deadline,Primary date,Follow the money URL,OpenSecrets URL,Ballotpedia race URL,Notes,Quotes from candidates,Withdrew?,Fundraising,,,,,,,,,
Destiny Scott Wells,https://www.facebook.com/wellsforindiana/,@TheDestinyWells,IN,,,D,,Pending,Pending,,,"https://ballotpedia.org/Indiana_Secretary_of_State_election,_2022",,DEMOCRAT,,,,,,,,"""",Wayne Harmon,""" OR ","""Wayne Harmon"" OR "
Kyle Conrad,https://www.facebook.com/profile.php?id=1109726520,NA,IN,,,R,,Pending,Pending,,,"https://ballotpedia.org/Indiana_Secretary_of_State_election,_2022",,,,,,,,,,"""",Scott Schwab,""" OR ","""Scott Schwab"" OR "
Holli Sullivan,https://www.facebook.com/OfficialSOSIN/,@OfficialSOSIN,IN,,,R,Y,Pending,Pending,,,"https://ballotpedia.org/Indiana_Secretary_of_State_election,_2022",,,,,,,,,,,,,
Jeff Maurer,https://www.facebook.com/MaurerForIndiana/,@Maurer4Indiana,IN,,,L,,Pending,Pending,,,"https://ballotpedia.org/Indiana_Secretary_of_State_election,_2022",,LIBERTARIAN,,,,,,,,"""",Mike Brown,""" OR ","""Mike Brown"" OR "
Diego Morales,https://www.facebook.com/cdiegomorales/,@cdiegomorales,IN,,,AF,,Pending,Pending,,,"https://ballotpedia.org/Indiana_Secretary_of_State_election,_2022",,Went on Steve Bannon's War Room in Jan 2022 https://rumble.com/vtagb7-indiana-sec-of-state-candidate-will-secure-us-elections.html?fbclid=IwAR2Q7cgLyltKR0SxFGJVUFeILKX9wo4UR6uwZvOZWVExfIGharbR4wnNXtc ; https://statesuniteddemocracy.org/wp-content/uploads/2022/01/sos_deniers-1.html,,,,,,,,"""",Beau LaFave,""" OR ","""Beau LaFave"" OR "
Wayne Harmon,http://www.facebook.com/GunnyHarmon4Indiana,@Gunny_Harmon,IN,,,R,,Pending,Pending,,,"https://ballotpedia.org/Indiana_Secretary_of_State_election,_2022",,,,,,,,,,"""",Kristina Karamo,""" OR ","""Kristina Karamo"" OR "
Paul Hager,https://www.facebook.com/Hager4SOSin2022,NA,IN,,,R,,Pending,Pending,,,"https://ballotpedia.org/Indiana_Secretary_of_State_election,_2022",,,,,,,,,,,,,
Scott Schwab,https://www.facebook.com/SchwabforSOS,@kansassos,KS,,,R,Y,Pending,8/2/2022,,,"https://ballotpedia.org/Kansas_Secretary_of_State_election,_2022",,,,,,,,,,,,,
Mike Brown,https://www.facebook.com/profile.php?id=100076439741399,NA,KS,Y,,AF,,Pending,8/2/2022,,,"https://ballotpedia.org/Kansas_Secretary_of_State_election,_2022",,I think if youre running for president of the U.S.... you have the right to ask your government is this being done fair? is this being done right? 40 minutes in https://www.audacy.com/knss/podcasts/john-whitmer-show-21008/former-johnson-county-commissioner-mike-brown-on-running-for-kansas-secretary-of-state-1035094123,,,,,,,,,,,
Beau LaFave,https://www.facebook.com/LaFave4SOS/,@BeauMattLaFave,MI,,,R,,Pending,Pending,,,"https://ballotpedia.org/Michigan_Secretary_of_State_election,_2022",,,,,,,,,,,,,
Kristina Karamo,https://www.facebook.com/KristinaforSOS,@KristinaKaramo,MI,Y,Y,AF,,Pending,Pending,,,"https://ballotpedia.org/Michigan_Secretary_of_State_election,_2022",,"Stop calling what the Democratic Party is pushing “voter rights”. Their attempts to intentionally weaken our election system is voter suppression and strengthening our election is true voter rights. Allowing legal votes to be nullified by illegal votes, violates our rights.;   claimed to observe election worker misbehavior https://www.cnn.com/2021/11/16/politics/kristina-karamo-michigan-secretary-of-state-candidate/index.html ;",,https://www.mlive.com/public-interest/2022/02/trump-endorsed-kristina-karamo-outraising-other-republican-secretary-of-state-candidates.html,,,,,,,,,
Cindy Berry,https://www.facebook.com/CindyBerryMi,@CindyBerryMI,MI,,,R,,Pending,Pending,,,"https://ballotpedia.org/Michigan_Secretary_of_State_election,_2022",,,,,,,,,,,,,
Jocelyn Benson,https://www.facebook.com/sosjocelynbenson,@JocelynBenson,MI,,,D,Y,Pending,Pending,,,"https://ballotpedia.org/Michigan_Secretary_of_State_election,_2022",,,,,,,,,,,,,
Cathleen Postmus,,NA,MI,,,R,,Pending,Pending,,,"https://ballotpedia.org/Michigan_Secretary_of_State_election,_2022",,,,,,,,,,,,,
Audrey Trujillo,https://www.facebook.com/audrey.d.trujillo,@AudreyTrueHero,NM,Y,,AF,,Pending,6/7/2022,,,"https://ballotpedia.org/New_Mexico_Secretary_of_State_election,_2022",No FB ads,,,,,,,,,,,,
Maggie Toulouse Oliver,https://www.facebook.com/Maggie4NM,@NMSOSMaggie,NM,,,D,,Pending,6/7/2022,,,"https://ballotpedia.org/New_Mexico_Secretary_of_State_election,_2022",,,,,,,,,,,,,
Tracy Trujillo,,NA,NM,,,R,,Pending,6/7/2022,,,"https://ballotpedia.org/New_Mexico_Secretary_of_State_election,_2022",,,,,,,,,,,,,
Gregg Amore,https://www.facebook.com/greggforri,NA,RI,,,D,,Pending,9/13/2022,,,"https://ballotpedia.org/Rhode_Island_Secretary_of_State_election,_2022",,,,,,,,,,,,,
NO CANDIDATES YET,,,SD,,,R,,Pending,Pending,,,"https://ballotpedia.org/South_Dakota_Secretary_of_State_election,_2022",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.washingtonpost.com/magazine/2022/02/28/secretary-of-state/,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"USA's Sabato Crystal Ball: ""Secretary of State Races: More Important Than Ever in 2022, and More Complicated, Too""",,,,,,,,,,,,,,,,,,,,,,,,,
https://centerforpolitics.org/crystalball/articles/secretary-of-state-races-more-important-than-ever-in-2022-and-more-complicated-too/,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"More coverage of Trump ""loyalists"" running for SoS",,,,,,,,,,,,,,,,,,,,,,,,,
https://www.theguardian.com/us-news/2022/jan/13/trump-loyalists-secretary-of-state-candidates,,,,,,,,,,,,,,,,,,,,,,,,,
"""In an interview with the Guardian, Marchant said that there were currently eight members of the coalition bidding for chief election official posts, with more likely to join soon. He said participants included Jody Hice in Georgia, Mark Finchem in Arizona and Kristina Karamo in Michigan"" ""Marchant also named Rachel Hamm in California and David Winney in Colorado, and said that further members were likely to be recruited imminently in Wisconsin and Minnesota."" Several in-person “summits” of the candidates had already been held, with the next planned in Wisconsin on 29 January and Nevada on 26 February.'",,,,,,,,,,,,,,,,,,,,,,,,,
“coalition of America First Secretary of State candidates around the country” - Marchant called it this on Bannon's show https://twitter.com/accountablegop/status/1478406073476395014,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Campaign funding,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.cnn.com/2022/01/21/politics/secretary-of-state-races-fundraising/index.html,,,,,,,,,,,,,,,,,,,,,,,,,
"""Democratic and Republican candidates for Secretary of State reported a combined $2.2 million in total receipts in 2021 -- more than three times what all candidates for state elections chief had collected at this point in the last election cycle.""",,,,,,,,,,,,,,,,,,,,,,,,,
"Democratic Association of Secretaries of State says it's ""on track to bring in $15 million for the 2022 election cycle -- 10 times what it collected four years ago.""",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.axios.com/local/twin-cities/2022/01/24/minnesota-secretary-of-state-steve-simon-fundraising?fbclid=IwAR2iAFtjwJjtdeExgpc-mgiNToRW7XYq8wVxxaXhWnGIEgQvCDdxGQpHfrA,,,,,,,,,,,,,,,,,,,,,,,,,
Cash flows into MN SoS race,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.axios.com/report-record-money-poised-to-flow-in-races-impacting-state-election-laws-84e6552b-016b-4f22-b21d-b0ccba9d8783.html,,,,,,,,,,,,,,,,,,,,,,,,,
Record campaign cash flows into races for state election officials,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Brennan Center analyses,,,,,,,,,,,,,,,,,,,,,,,,,
Financing of Races for Offices that Oversee Elections: January 2022 https://www.brennancenter.org/our-work/research-reports/financing-races-offices-oversee-elections-january-2022,,,,,,,,,,,,,,,,,,,,,,,,,
"""In Michigan, incumbent Democrat Jocelyn Benson has amassed $1.2 million, which is five times what she had raised at this point in 2018 and six times what the last incumbent raised in 2014""",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Financing of Races for Offices that Oversee Elections: February 2022 https://www.brennancenter.org/our-work/research-reports/financing-races-offices-oversee-elections-february-2022,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.nytimes.com/2022/01/30/us/politics/election-deniers-secretary-of-state.html,,,,,,,,,,,,,,,,,,,,,,,,,
https://statesuniteddemocracy.org/resources/replacingtherefs/#f1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"QAnon-connected candidates, Media Matters",,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mediamatters.org/qanon-conspiracy-theory/multiple-people-seeking-run-state-elections-are-connected-qanon,,,,,,,,,,,,,,,,,,,,,,,,,
